ADJECTIVE,POSITIVE,COMPARATIVE,SUPERLATIVE,REGULAR,IRREGULAR
bad,1,,,,1
best,,,1,,1
better,,1,,,1
black,1,,,1,
blacker,,1,,1,
blackest,,,1,1,
brown,1,,,1,
browner,,1,,1,
brownest,,,1,1,
calm,1,,,1,
calmer,,1,,1,
calmest,,,1,1,
cool,1,,,1,
cooler,,1,,1,
coolest,,,1,1,
crazier,,1,,1,
craziest,,,1,1,
crazy,1,,,1,
dirtier,,1,,1,
dirtiest,,,1,1,
dirty,1,,,1,
dull,1,,,1,
duller,,1,,1,
dullest,,,1,1,
dustier,,1,,1,
dustiest,,,1,1,
dusty,1,,,1,
earlier,,1,,1,
earliest,,,1,1,
early,1,,,1,
emptier,,1,,1,
emptiest,,,1,1,
empty,1,,,1,
fake,1,,,1,
faker,,1,,1,
fakest,,,1,1,
fast,1,,,1,
faster,,1,,1,
fastest,,,1,1,
fizzier,,1,,1,
fizziest,,,1,1,
fizzy,1,,,1,
flat,1,,,1,
flatter,,1,,1,
flattest,,,1,1,
full,1,,,1,
fuller,,1,,1,
fullest,,,1,1,
fuzzier,,1,,1,
fuzziest,,,1,1,
fuzzy,1,,,1,
good,1,,,,1
green,1,,,1,
greener,,1,,1,
greenest,,,1,1,
high,1,,,1,
higher,,1,,1,
highest,,,1,1,
hillier,,1,,1,
hilliest,,,1,1,
hilly,1,,,1,
late,1,,,1,
later,,1,,1,
latest,,,1,1,
lazier,,1,,1,
laziest,,,1,1,
lazy,1,,,1,
least,,,1,,1
less,,1,,,1
little,1,,,,1
mean,1,,,1,
meaner,,1,,1,
meanest,,,1,1,
nice,1,,,1,
nicer,,1,,1,
nicest,,,1,1,
old,1,,,1,
older,,1,,1,
oldest,,,1,1,
poor,1,,,1,
poorer,,1,,1,
poorest,,,1,1,
purple,1,,,1,
purpler,,1,,1,
purplest,,,1,1,
quick,1,,,1,
quicker,,1,,1,
quickesst,,,1,1,
quiet,1,,,1,
quieter,,1,,1,
quietest,,,1,1,
real,1,,,1,
realer,,1,,1,
realest,,,1,1,
rich,1,,,1,
richer,,1,,1,
richest,,,1,1,
rough,1,,,1,
rougher,,1,,1,
roughest,,,1,1,
sharp,1,,,1,
sharper,,1,,1,
sharpest,,,1,1,
short,1,,,1,
shorter,,1,,1,
shortest,,,1,1,
small,1,,,1,
smaller,,1,,1,
smallest,,,1,1,
smooth,1,,,1,
smoother,,1,,1,
smoothest,,,1,1,
still,1,,,1,
stiller,,1,,1,
stillest,,,1,1,
tall,1,,,1,
taller,,1,,1,
tallest,,,1,1,
warm,1,,,1,
warmer,,1,,1,
warmest,,,1,1,
weak,1,,,1,
weaker,,1,,1,
weakest,,,1,1,
white,1,,,1,
whiter,,1,,1,
whitest,,,1,1,
woollier,,1,,1,
woolliest,,,1,1,
woolly,1,,,1,
worse,,1,,,1
worst,,,1,,1
yellow,1,,,1,
yellower,,1,,1,
yellowest,,,1,1,
