NOUN,SINGULAR,PLURAL,COLLECTIVE,COMPOUND,NOMINATIVECASE,OBJECTIVECASE
armory,1,,1,,1,1
army,1,,1,,1,1
audience,1,,1,,1,1
band,1,,1,,1,1
battalion,1,,1,,1,1
bevy,1,,1,,1,1
board,1,,1,,1,1
body,1,,1,,1,1
brigade,1,,1,,1,1
caravan,1,,1,,1,1
cast,1,,1,,1,1
century,1,,1,,1,1
chain,1,,1,,1,1
choir,1,,1,,1,1
clan,1,,1,,1,1
class,1,,1,,1,1
club,1,,1,,1,1
coalition,1,,1,,1,1
cohort,1,,1,,1,1
collection,1,,1,,1,1
college,1,,1,,1,1
colony,1,,1,,1,1
committee,1,,1,,1,1
community,1,,1,,1,1
company,1,,1,,1,1
congress,1,,1,,1,1
corps,1,,1,,1,1
country,1,,1,,1,1
covey,1,,1,,1,1
crew,1,,1,,1,1
crowd,1,,1,,1,1
deck,1,,1,,1,1
division,1,,1,,1,1
drove,1,,1,,1,1
dynasty,1,,1,,1,1
electorate,1,,1,,1,1
ensemble,1,,1,,1,1
family,1,,1,,1,1
file,1,,1,,1,1
flock,1,,1,,1,1
force,1,,1,,1,1
gaggle,1,,1,,1,1
gang,1,,1,,1,1
group,1,,1,,1,1
herd,1,,1,,1,1
horde,1,,1,,1,1
house,1,,1,,1,1
household,1,,1,,1,1
index,1,,1,,1,1
jury,1,,1,,1,1
league,1,,1,,1,1
legion,1,,1,,1,1
library,1,,1,,1,1
line,1,,1,,1,1
lineage,1,,1,,1,1
list,1,,1,,1,1
litter,1,,1,,1,1
mess,1,,1,,1,1
orchard,1,,1,,1,1
pack,1,,1,,1,1
pair,1,,1,,1,1
peloton,1,,1,,1,1
phalanx,1,,1,,1,1
platoon,1,,1,,1,1
posse,1,,1,,1,1
quartet,1,,1,,1,1
quintet,1,,1,,1,1
rank,1,,1,,1,1
regiment,1,,1,,1,1
school,1,,1,,1,1
septet,1,,1,,1,1
sequence,1,,1,,1,1
series,1,,1,,1,1
sextet,1,,1,,1,1
squad,1,,1,,1,1
squadron,1,,1,,1,1
supply,1,,1,,1,1
swarm,1,,1,,1,1
team,1,,1,,1,1
tribe,1,,1,,1,1
trio,1,,1,,1,1
troop,1,,1,,1,1
union,1,,1,,1,1
workforce,1,,1,1,1,1
