NOUN,SINGULAR,PLURAL,COLLECTIVE,COMPOUND,NOMINATIVECASE,OBJECTIVECASE
axes,,1,,,1,1
axis,1,,,,1,1
back,1,,,,1,1
backs,,1,,,1,1
balloon,1,,,,1,1
balloons,,1,,,1,1
baseball,1,,,1,1,1
baseballs,,1,,1,1,1
batter,1,,,,1,1
batters,,1,,,1,1
bees,,1,,,1,1
blizzard,1,,,,1,1
blizzards,,1,,,1,1
buffalo,1,1,,,1,1
bully,1,,,,1,1
butter,1,,,,1,1
buzz,1,,,,1,1
cactii,,1,,,1,1
cactus,1,,,,1,1
callee,1,,,,1,1
celli,,1,,,1,1
cello,1,,,,1,1
classroom,1,,,1,1,1
classrooms,,1,,1,1,1
coccyx,1,,,,1,1
coffee,1,,,,1,1
craze,1,,,,1,1
crazes,,1,,,1,1
deer,1,1,,,1,1
diner,1,,,,1,1
diners,,1,,,1,1
dinner,1,,,,1,1
dinners,,1,,,1,1
exam,1,,,,1,1
exams,,1,,,1,1
fishhook,1,,,1,1,1
fizz,1,,,,1,1
flux,1,,,,1,1
fluxes,,1,,,1,1
foci,,1,,,1,1
football,1,,,1,1,1
footballs,,1,,1,1,1
fungi,,1,,,1,1
fuzz,1,,,,1,1
geese,,1,,,1,1
glass,1,,,,1,1
glasses,,1,,,1,1
goose,1,,,,1,1
green,1,,,,1,1
hack,1,,,,1,1
hacks,,1,,,1,1
hallux,1,,,,1,1
helix,1,,,,1,1
iiwi,1,,,,1,1
iiwis,,1,,,1,1
jazz,1,,,,1,1
kitten,1,,,,1,1
kittens,,1,,,1,1
lake,1,,,,1,1
lakes,,1,,,1,1
lice,,1,,,1,1
liquor,1,,,,1,1
loci,,1,,,1,1
lock,1,,,,1,1
locks,,1,,,1,1
love,1,,,,1,1
lynx,1,,,,1,1
mailbox,1,,,1,1,1
maze,1,,,,1,1
mazes,,1,,,1,1
mice,,1,,,1,1
moon,1,,,,1,1
moons,,1,,,1,1
people,,1,,,1,1
person,1,,,,1,1
pixel,1,,,,1,1
pixels,,1,,,1,1
pixie,1,,,,1,1
pixies,,1,,,1,1
pixy,1,,,,1,1
pizza,1,,,,1,1
pizzas,,1,,,1,1
qats,,1,,,1,1
quail,1,1,,,1,1
queen,1,,,,1,1
queens,,1,,,1,1
quest,1,,,,1,1
quests,,1,,,1,1
quill,1,,,,1,1
quills,,1,,,1,1
quilt,1,,,,1,1
quilts,,1,,,1,1
quiz,1,,,,1,1
radii,,1,,,1,1
radius,1,,,,1,1
radix,1,,,,1,1
rhythm,1,,,,1,1
rhythms,,1,,,1,1
saxophone,1,,,,1,1
saxophones,,1,,,1,1
sheep,1,1,,,1,1
sirree,1,,,,1,1
snowman,1,,,1,1,1
snowmen,,1,,1,1,1
sphinx,1,,,,1,1
teeth,,1,,,1,1
toffee,1,,,,1,1
toolbox,1,,,1,1,1
tooth,1,,,,1,1
vacuum,1,,,,1,1
vacuums,,1,,,1,1
water,1,,,,1,1
week,1,,,,1,1
weeks,,1,,,1,1
well,1,,,,1,1
wells,,1,,,1,1
wheel,1,,,,1,1
wheels,,1,,,1,1
world,1,,,,1,1
worlds,,1,,,1,1
xylophone,1,,,,1,1
xylophones,,1,,,1,1
yell,1,,,,1,1
yellow,1,,,,1,1
yells,,1,,,1,1
zeal,1,,,,1,1
zero,1,,,,1,1
zest,1,,,,1,1
zeta,1,,,,1,1
zinc,1,,,,1,1
zipper,1,,,,1,1
zippers,,1,,,1,1
zone,1,,,,1,1
zones,,1,,,1,1
zooid,1,,,,1,1
zoos,,1,,,1,1
zucchini,1,1,,,1,1
