PRONOUN,DEMONSTRATIVE,INDEFINITE,PERSONAL,SINGULAR,PLURAL,NOMINATIVECASE,OBJECTIVECASE,POSSESSIVECASE,COMPOUND
this,1,,,1,,1,1,,
that,1,,,1,,1,1,,
these,1,,,,1,1,1,,
those,1,,,,1,1,1,,
thik,1,,,1,,1,1,,
another,,1,,1,,1,1,,
anybody,,1,,1,,1,1,,
anyone,,1,,1,,1,1,,
both,,1,,,1,1,1,,
each,,1,,1,,1,1,,
either,,1,,1,,1,1,,
everybody,,1,,1,,1,1,,
everyone,,1,,1,,1,1,,
many,,1,,,1,1,1,,
most,,1,,1,1,1,1,,
more,,1,,1,1,1,1,,
neither,,1,,1,,1,1,,
nobody,,1,,1,,1,1,,
none,,1,,1,1,1,1,,
other,,1,,1,,1,1,,
several,,1,,,1,1,1,,
some,,1,,1,1,1,1,,
somebody,,1,,1,,1,1,,
someone,,1,,1,,1,1,,
such,,1,,1,1,1,1,,
three,,1,,,1,1,1,,
four,,1,,,1,1,1,,
five,,1,,,1,1,1,,
seven,,1,,,1,1,1,,
eight,,1,,,1,1,1,,
nine,,1,,,1,1,1,,
eleven,,1,,,1,1,1,,
twelve,,1,,,1,1,1,,
thirteen,,1,,,1,1,1,,
fourteen,,1,,,1,1,1,,
fifteen,,1,,,1,1,1,,
sixteen,,1,,,1,1,1,,
seventeen,,1,,,1,1,1,,
eighteen,,1,,,1,1,1,,
nineteen,,1,,,1,1,1,,
twenty,,1,,,1,1,1,,
thirty,,1,,,1,1,1,,
fourty,,1,,,1,1,1,,
fifty,,1,,,1,1,1,,
sixty,,1,,,1,1,1,,
seventy,,1,,,1,1,1,,
eighty,,1,,,1,1,1,,
ninety,,1,,,1,1,1,,
others,,1,,,1,1,1,,
mine,,,1,1,1,,,1,
theirs,,,1,1,1,,,1,
ours,,,1,1,1,,,1,
hers,,,1,1,1,,,1,
yours,,,1,1,1,,,1,
