PREPOSITION,COMPOUND
abaft,
aboard,
about,
above,
absent,
across,
afore,
after,
again,
against,
ahind,
along,
alongside,
amid,
amidst,
among,
amongst,
anenst,
anent,
anunder,
anti,
apropos,
around,
aside,
astride,
athwart,
atop,
ayont,
barring,
before,
behind,
below,
beneath,
benorth,
beside,
besides,
between,
betwixt,
bewest,
beyond,
chez,
circa,
concerning,
contra,
despite,
down,
during,
except,
excepting,
failing,
following,
forby,
forbye,
forenenst,
fornenst,
fornent,
from,
fromward,
inside,
into,
less,
like,
midst,
minus,
modulo,
near,
neath,
next,
onto,
opposite,
outside,
outwith,
over,
pace,
past,
pending,
plus,
regarding,
respecting,
round,
sans,
save,
saving,
since,
than,
through,
throughout,
thru,
till,
times,
touching,
toward,
towards,
twixt,
under,
underneath,
unlike,
until,
unto,
upon,
versus,
vice,
with,
within,1
without,1
worth,
tween,
